,timestamp (POSIX),battery_voltage (mV),temperature (C),volume (m³/m³),conductivity (µS/cm)
0,1587387889.0,3540.0,8.5,0.293,106.0
1,1587388489.0,3540.0,8.7,0.293,106.0
2,1587389089.0,3540.0,8.7,0.293,107.0
3,1587389689.0,3540.0,8.7,0.293,106.0
4,1587390288.0,3540.0,8.9,0.293,107.0
5,1587390888.0,3540.0,8.9,0.293,107.0
6,1587391488.0,3540.0,8.9,0.292,107.0
7,1587392090.0,3540.0,8.9,0.293,107.0
8,1587393288.0,3540.0,9.0,0.293,107.0
9,1587393888.0,3540.0,9.0,0.293,107.0
10,1587394489.0,3540.0,9.0,0.293,107.0
11,1587395088.0,3540.0,8.9,0.292,106.0
12,1587395688.0,3540.0,8.9,0.292,107.0
13,1587396288.0,3540.0,8.7,0.293,107.0
14,1587396888.0,3510.0,8.7,0.292,108.0
15,1587397489.0,3510.0,8.7,0.292,107.0
16,1587398088.0,3510.0,8.5,0.292,108.0
17,1587398688.0,3510.0,8.5,0.292,108.0
18,1587399288.0,3510.0,8.5,0.292,108.0
19,1587399887.0,3510.0,8.4,0.292,107.0
20,1587400489.0,3510.0,8.2,0.292,108.0
21,1587401087.0,3510.0,8.2,0.292,108.0
22,1587401689.0,3510.0,8.2,0.292,108.0
23,1587402287.0,3510.0,8.0,0.291,108.0
24,1587402888.0,3510.0,8.0,0.293,108.0
25,1587403488.0,3510.0,7.9,0.293,108.0
26,1587404087.0,3510.0,7.8,0.292,108.0
27,1587404688.0,3510.0,7.8,0.292,109.0
28,1587405287.0,3510.0,7.7,0.292,108.0
29,1587405887.0,3480.0,7.6,0.292,108.0
30,1587406487.0,3480.0,7.5,0.292,108.0
31,1587407088.0,3480.0,7.4,0.293,108.0
32,1587407687.0,3480.0,7.3,0.292,108.0
33,1587408887.0,3480.0,7.0,0.292,108.0
34,1587409487.0,3450.0,6.9,0.292,108.0
35,1587410088.0,3450.0,6.8,0.293,109.0
36,1587410686.0,3450.0,6.7,0.292,108.0
37,1587411286.0,3450.0,6.6,0.292,108.0
38,1587411886.0,3450.0,6.5,0.292,108.0
39,1587412486.0,3450.0,6.3,0.293,108.0
40,1587413086.0,3450.0,6.2,0.293,108.0
41,1587413686.0,3450.0,6.2,0.292,108.0
42,1587414286.0,3450.0,6.1,0.293,109.0
43,1587414887.0,3480.0,6.0,0.293,108.0
44,1587415486.0,3450.0,6.0,0.292,108.0
45,1587416087.0,3480.0,5.8,0.294,108.0
46,1587416687.0,3480.0,5.7,0.293,108.0
47,1587417286.0,3450.0,5.7,0.292,108.0
48,1587417887.0,3450.0,5.7,0.293,108.0
49,1587418487.0,3450.0,5.6,0.293,108.0
