PeriodStartUTC0,TemperatureAir,RelativeHumidity,NetRadiation,PAR,CMP,CMPRefl,TemperatureSoil5cm,TemperatureSoil10cm,TemperatureSoil30cm,SoilMoisture
2020-04-01T00:00:00.000000Z,3.44,55.3,-61.63,0.01,-5.92,-1.36,0.23,0.51,0.58,0.3729337518072158
2020-04-01T00:30:00.000000Z,2.96,50.8,-61.84,-0.05,-6.11,-1.55,0.23,0.51,0.58,0.3729337518072158
2020-04-01T01:00:00.000000Z,2.85,49.3,-62.45,-0.06,-5.68,-1.36,0.23,0.51,0.58,0.3729337518072158
2020-04-01T01:30:00.000000Z,2.09,51.2,-48.67,0.03,-5.45,-1.53,0.23,0.5,0.58,0.3729337518072158
2020-04-01T02:00:00.000000Z,1.93,50.7,-54.71,-0.1,-5.86,-1.55,0.23,0.5,0.57,0.3729337518072158
2020-04-01T02:30:00.000000Z,1.36,51.9,-52.35,-0.13,-6.04,-1.72,0.23,0.5,0.57,0.3729337518072158
2020-04-01T03:00:00.000000Z,1.53,50.0,-42.2,0.21,-4.53,-1.43,0.22,0.5,0.57,0.3729337518072158
2020-04-01T03:30:00.000000Z,1.55,50.0,-43.98,5.89,-2.03,0.24,0.23,0.5,0.57,0.3729337518072158
2020-04-01T04:00:00.000000Z,2.04,51.3,-52.95,34.59,8.19,6.63,0.22,0.5,0.57,0.3729337518072158
2020-04-01T04:30:00.000000Z,2.34,53.1,-53.37,109.64,53.56,29.25,0.22,0.49,0.56,0.3729337518072158
2020-04-01T05:00:00.000000Z,2.88,58.5,-61.6,243.02,127.36,67.8,0.23,0.48,0.56,0.3729337518072158
2020-04-01T05:30:00.000000Z,3.37,60.7,-60.08,393.3,198.25,104.94,0.23,0.49,0.56,0.3729337518072158
2020-04-01T06:00:00.000000Z,3.81,60.9,-36.2,483.42,242.13,129.55,0.24,0.49,0.56,0.3729337518072158
2020-04-01T06:30:00.000000Z,4.15,59.2,-7.08,599.72,307.83,167.84,0.24,0.48,0.56,0.3722222255482732
2020-04-01T07:00:00.000000Z,4.39,59.1,30.89,587.01,297.32,157.29,0.24,0.48,0.56,0.3722222255482732
2020-04-01T07:30:00.000000Z,4.72,57.0,100.4,791.94,411.75,203.47,0.24,0.48,0.56,0.3722222255482732
2020-04-01T08:00:00.000000Z,5.22,55.4,133.46,845.57,441.81,195.14,0.25,0.47,0.56,0.3722222255482732
2020-04-01T08:30:00.000000Z,5.49,53.0,220.35,997.37,525.83,202.06,0.26,0.48,0.55,0.3722222255482732
2020-04-01T09:00:00.000000Z,5.46,52.0,253.84,1004.95,537.15,168.24,0.28,0.48,0.55,0.3722222255482732
2020-04-01T09:30:00.000000Z,5.93,48.9,317.88,1135.33,608.5,147.94,0.3,0.49,0.55,0.3722222255482732
2020-04-01T10:00:00.000000Z,5.91,49.2,324.63,1087.33,579.9,112.21,0.3,0.49,0.55,0.3722222255482732
2020-04-01T10:30:00.000000Z,5.8,47.8,313.53,1034.69,548.2,91.94,0.3,0.49,0.55,0.3729337518072158
2020-04-01T11:00:00.000000Z,6.08,49.2,309.37,1021.83,536.45,83.25,0.33,0.5,0.57,0.3867524169623433
2020-04-01T11:30:00.000000Z,6.21,49.0,311.72,1035.32,540.65,82.01,0.38,0.53,0.6,0.4036189637593872
2020-04-01T12:00:00.000000Z,6.59,47.6,304.73,1014.61,530.64,81.66,0.48,0.57,0.65,0.4166384821623761
2020-04-01T12:30:00.000000Z,6.37,43.3,269.21,938.29,487.07,78.0,0.64,0.64,0.71,0.4225762260408925
2020-04-01T13:00:00.000000Z,6.51,43.2,226.3,852.92,437.47,72.95,0.84,0.74,0.79,0.4243027194678448
2020-04-01T13:30:00.000000Z,6.07,44.9,155.49,679.07,336.36,58.25,1.06,0.85,0.88,0.4251711769279076
2020-04-01T14:00:00.000000Z,5.76,46.7,142.64,655.24,325.5,62.65,1.28,0.96,0.97,0.4243027194678448
2020-04-01T14:30:00.000000Z,5.26,53.3,90.92,532.39,256.57,60.31,1.45,1.07,1.06,0.4243027194678448
2020-04-01T15:00:00.000000Z,4.83,56.6,44.69,395.72,188.5,52.13,1.57,1.18,1.15,0.42343775022465513
2020-04-01T15:30:00.000000Z,4.7,55.1,5.03,249.16,119.69,38.76,1.61,1.27,1.23,0.4225762260408925
2020-04-01T16:00:00.000000Z,3.49,50.7,-48.68,81.03,24.89,4.2,1.56,1.35,1.29,0.4217181041856537
2020-04-01T16:30:00.000000Z,2.34,52.6,-51.67,39.25,10.09,1.55,1.47,1.4,1.34,0.42086334235218725
2020-04-01T17:00:00.000000Z,0.86,58.0,-50.9,10.86,-1.31,-0.17,1.37,1.41,1.37,0.42001189865547817
2020-04-01T17:30:00.000000Z,-0.22,61.1,-45.61,0.45,-4.1,-0.32,1.26,1.4,1.39,0.41916373162984266
2020-04-01T18:00:00.000000Z,-0.33,65.9,-14.63,0.09,-1.12,0.12,1.17,1.39,1.39,0.41831880022654255
2020-04-01T18:30:00.000000Z,-0.23,72.4,-13.19,-0.03,-1.1,0.06,1.1,1.36,1.38,0.41831880022654255
2020-04-01T19:00:00.000000Z,-0.27,71.1,-18.61,-0.02,-1.73,0.04,1.04,1.33,1.37,0.41747706381139293
2020-04-01T19:30:00.000000Z,0.36,69.9,-12.29,-0.2,-1.05,-0.04,0.99,1.3,1.35,0.41747706381139293
2020-04-01T20:00:00.000000Z,1.09,73.0,-6.8,-0.22,-0.42,-0.12,0.96,1.27,1.33,0.4166384821623761
2020-04-01T20:30:00.000000Z,1.68,71.7,-17.37,-0.04,-1.46,-0.22,0.93,1.25,1.31,0.4166384821623761
2020-04-01T21:00:00.000000Z,1.82,71.3,-22.6,-0.05,-1.96,-0.28,0.9,1.23,1.29,0.41580301546727405
2020-04-01T21:30:00.000000Z,1.84,73.8,-20.71,0.01,-1.74,-0.26,0.88,1.21,1.27,0.41580301546727405
2020-04-01T22:00:00.000000Z,1.56,76.4,-24.13,-0.07,-2.58,-0.44,0.86,1.19,1.24,0.41580301546727405
